2025-12-22 05:08:27,893 | INFO | SYSTEM | epoch=23 time=228.95s lr=5e-05 grad_norm=47.446151 mask_ratio_lastbatch=0.016676 cuda_mem_alloc_mb=845.83 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.55
2025-12-22 05:12:39,804 | INFO | SYSTEM | epoch=24 time=251.91s lr=5e-05 grad_norm=48.607139 mask_ratio_lastbatch=0.010417 cuda_mem_alloc_mb=847.42 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.55
2025-12-22 05:16:24,693 | INFO | SYSTEM | epoch=25 time=224.89s lr=5e-05 grad_norm=49.331926 mask_ratio_lastbatch=0.070964 cuda_mem_alloc_mb=845.36 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.55
2025-12-22 05:20:07,408 | INFO | SYSTEM | epoch=26 time=222.71s lr=5e-05 grad_norm=50.229327 mask_ratio_lastbatch=0.011299 cuda_mem_alloc_mb=847.08 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.55
2025-12-22 05:23:47,293 | INFO | SYSTEM | epoch=27 time=219.88s lr=5e-05 grad_norm=51.401305 mask_ratio_lastbatch=0.017485 cuda_mem_alloc_mb=845.36 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.55
2025-12-22 05:27:39,657 | INFO | SYSTEM | epoch=28 time=232.36s lr=5e-05 grad_norm=52.367512 mask_ratio_lastbatch=0.014606 cuda_mem_alloc_mb=847.53 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.55
2025-12-22 05:31:33,372 | INFO | SYSTEM | epoch=29 time=233.71s lr=5e-05 grad_norm=52.875436 mask_ratio_lastbatch=0.010515 cuda_mem_alloc_mb=846.08 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.62
2025-12-22 05:35:39,685 | INFO | SYSTEM | epoch=30 time=246.31s lr=5e-05 grad_norm=54.290466 mask_ratio_lastbatch=0.009364 cuda_mem_alloc_mb=848.04 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.62
2025-12-22 05:39:25,920 | INFO | SYSTEM | epoch=31 time=226.23s lr=5e-05 grad_norm=55.241537 mask_ratio_lastbatch=0.006023 cuda_mem_alloc_mb=847.17 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.62
2025-12-22 05:43:13,828 | INFO | SYSTEM | epoch=32 time=227.91s lr=5e-05 grad_norm=56.492792 mask_ratio_lastbatch=0.089410 cuda_mem_alloc_mb=845.36 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6272.62
2025-12-22 05:46:54,978 | INFO | SYSTEM | epoch=33 time=221.15s lr=5e-05 grad_norm=57.174308 mask_ratio_lastbatch=0.007415 cuda_mem_alloc_mb=846.43 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 05:50:44,238 | INFO | SYSTEM | epoch=34 time=229.26s lr=5e-05 grad_norm=58.240360 mask_ratio_lastbatch=0.136719 cuda_mem_alloc_mb=845.65 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 05:54:26,480 | INFO | SYSTEM | epoch=35 time=222.24s lr=5e-05 grad_norm=59.280178 mask_ratio_lastbatch=0.050781 cuda_mem_alloc_mb=845.56 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 05:58:17,874 | INFO | SYSTEM | epoch=36 time=231.39s lr=5e-05 grad_norm=60.428849 mask_ratio_lastbatch=0.012989 cuda_mem_alloc_mb=845.68 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:02:16,784 | INFO | SYSTEM | epoch=37 time=238.91s lr=5e-05 grad_norm=61.145675 mask_ratio_lastbatch=0.010278 cuda_mem_alloc_mb=847.19 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:06:12,551 | INFO | SYSTEM | epoch=38 time=235.77s lr=5e-05 grad_norm=62.185298 mask_ratio_lastbatch=0.011413 cuda_mem_alloc_mb=846.77 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:09:58,071 | INFO | SYSTEM | epoch=39 time=225.52s lr=2.5e-05 grad_norm=63.231692 mask_ratio_lastbatch=0.032738 cuda_mem_alloc_mb=845.72 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:14:10,159 | INFO | SYSTEM | epoch=40 time=252.09s lr=2.5e-05 grad_norm=64.384224 mask_ratio_lastbatch=0.051339 cuda_mem_alloc_mb=846.33 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:18:00,822 | INFO | SYSTEM | epoch=41 time=230.66s lr=2.5e-05 grad_norm=65.173555 mask_ratio_lastbatch=0.017650 cuda_mem_alloc_mb=845.74 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:21:44,922 | INFO | SYSTEM | epoch=42 time=224.10s lr=2.5e-05 grad_norm=65.590174 mask_ratio_lastbatch=0.009013 cuda_mem_alloc_mb=849.25 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:25:30,357 | INFO | SYSTEM | epoch=43 time=225.43s lr=2.5e-05 grad_norm=66.521288 mask_ratio_lastbatch=0.013863 cuda_mem_alloc_mb=846.04 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:29:13,695 | INFO | SYSTEM | epoch=44 time=223.34s lr=2.5e-05 grad_norm=67.522445 mask_ratio_lastbatch=0.053646 cuda_mem_alloc_mb=845.50 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:32:59,870 | INFO | SYSTEM | epoch=45 time=226.17s lr=2.5e-05 grad_norm=68.475465 mask_ratio_lastbatch=0.011480 cuda_mem_alloc_mb=845.83 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:36:48,993 | INFO | SYSTEM | epoch=46 time=229.12s lr=2.5e-05 grad_norm=69.267633 mask_ratio_lastbatch=0.016927 cuda_mem_alloc_mb=845.62 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:40:43,607 | INFO | SYSTEM | epoch=47 time=234.61s lr=2.5e-05 grad_norm=70.260788 mask_ratio_lastbatch=0.010297 cuda_mem_alloc_mb=846.57 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:44:36,702 | INFO | SYSTEM | epoch=48 time=233.09s lr=2.5e-05 grad_norm=70.484484 mask_ratio_lastbatch=0.013079 cuda_mem_alloc_mb=847.05 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:48:10,133 | INFO | SYSTEM | epoch=49 time=213.43s lr=1.25e-05 grad_norm=72.005453 mask_ratio_lastbatch=0.006211 cuda_mem_alloc_mb=847.54 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
