INFO | SYSTEM | epoch=27 time=11.40s lr=1e-05 grad_norm=0.271011 mask_ratio_lastbatch=0.139630 cuda_mem_alloc_mb=217.83 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=28 time=9.04s lr=1e-05 grad_norm=0.075530 mask_ratio_lastbatch=0.154157 cuda_mem_alloc_mb=217.64 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=29 time=10.77s lr=1e-05 grad_norm=0.075992 mask_ratio_lastbatch=0.140981 cuda_mem_alloc_mb=217.70 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=30 time=10.93s lr=1e-05 grad_norm=0.192881 mask_ratio_lastbatch=0.140912 cuda_mem_alloc_mb=217.75 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=31 time=9.36s lr=1e-05 grad_norm=0.243794 mask_ratio_lastbatch=0.145185 cuda_mem_alloc_mb=217.73 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=32 time=10.57s lr=1e-05 grad_norm=0.117941 mask_ratio_lastbatch=0.140086 cuda_mem_alloc_mb=217.77 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=33 time=10.33s lr=1e-05 grad_norm=0.124382 mask_ratio_lastbatch=0.138992 cuda_mem_alloc_mb=217.83 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=34 time=8.91s lr=1e-05 grad_norm=0.081799 mask_ratio_lastbatch=0.147276 cuda_mem_alloc_mb=217.75 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=35 time=10.41s lr=1e-05 grad_norm=0.087808 mask_ratio_lastbatch=0.133167 cuda_mem_alloc_mb=217.83 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=36 time=8.93s lr=1e-05 grad_norm=0.169644 mask_ratio_lastbatch=0.140333 cuda_mem_alloc_mb=217.73 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=37 time=10.31s lr=1e-05 grad_norm=0.216007 mask_ratio_lastbatch=0.149556 cuda_mem_alloc_mb=217.76 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=761.03
INFO | SYSTEM | epoch=38 time=10.34s lr=1e-05 grad_norm=0.319031 mask_ratio_lastbatch=0.142568 cuda_mem_alloc_mb=217.70 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=39 time=10.53s lr=1e-05 grad_norm=0.127711 mask_ratio_lastbatch=0.139648 cuda_mem_alloc_mb=217.77 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=40 time=10.47s lr=1e-05 grad_norm=0.190816 mask_ratio_lastbatch=0.147091 cuda_mem_alloc_mb=217.81 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=41 time=10.44s lr=1e-05 grad_norm=0.193530 mask_ratio_lastbatch=0.135060 cuda_mem_alloc_mb=217.79 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=42 time=10.33s lr=1e-05 grad_norm=0.087875 mask_ratio_lastbatch=0.141234 cuda_mem_alloc_mb=217.72 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=43 time=10.26s lr=1e-05 grad_norm=0.119129 mask_ratio_lastbatch=0.142438 cuda_mem_alloc_mb=217.78 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=44 time=8.64s lr=1e-05 grad_norm=0.202933 mask_ratio_lastbatch=0.146884 cuda_mem_alloc_mb=217.74 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=45 time=10.32s lr=1e-05 grad_norm=0.231678 mask_ratio_lastbatch=0.145455 cuda_mem_alloc_mb=217.78 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=46 time=10.50s lr=1e-05 grad_norm=0.159214 mask_ratio_lastbatch=0.150325 cuda_mem_alloc_mb=217.77 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
