INFO | 2025-12-23 10:48:07
INFO | command: RunModelsLogsUSHCN.py --dataset ushcn --state def --history 24 --batch_size 192 --lr 1e-3 --patience 50 --epoch 300 --nhead 4 --tf_layer 1 --nlayer 1 --te_dim 15 --node_dim 10 --hid_dim 64 --seed 1 --gpu 0 --multi_scales 3,12 --multi_strides 1,6 --fusion concat
INFO | ExpID=70181 PID=539684 host=stud-000 device=cuda CUDA_VISIBLE_DEVICES=0
INFO | SLURM_JOB_NAME=MH_USHCN_MS SLURM_JOB_ID=317561
INFO | ckpt_path=experiments/experiment_70181.ckpt
INFO | args=Namespace(multi_scales='3,12', multi_strides='1,6', fusion='concat', state='def', n=100000000, hop=1, nhead=4, tf_layer=1, nlayer=1, epoch=300, patience=50, history=24, patch_size=24, stride=24, logmode='a', lr=0.001, w_decay=0.0, batch_size=192, save='experiments/', load=None, seed=1, dataset='ushcn', quantization=0.0, model='tPatchGNN', outlayer='Linear', hid_dim=64, te_dim=15, node_dim=10, gpu='0', debug_internal=1, topk_err=10, data_sanity_batches=3, npatch=1, device=device(type='cuda'), PID=539684, n_months=48, pred_window=1, ndim=5)
INFO | data: input_dim=5 n_train_batches=84 n_val_batches=28 n_test_batches=28 quantization=0.0 history=24 patch_size=24 stride=24 npatch=1
INFO | SYSTEM | epoch=21 time=23.96s lr=0.0005 grad_norm=0.764393 mask_ratio_lastbatch=0.102410 cuda_mem_alloc_mb=289.86 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=22 time=23.98s lr=0.0005 grad_norm=0.395621 mask_ratio_lastbatch=0.099288 cuda_mem_alloc_mb=288.82 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=23 time=24.16s lr=0.0005 grad_norm=3.619890 mask_ratio_lastbatch=0.096023 cuda_mem_alloc_mb=289.12 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=24 time=24.01s lr=0.0005 grad_norm=0.872716 mask_ratio_lastbatch=0.099702 cuda_mem_alloc_mb=289.63 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=25 time=24.00s lr=0.0005 grad_norm=0.584271 mask_ratio_lastbatch=0.096921 cuda_mem_alloc_mb=288.74 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=26 time=24.19s lr=0.00025 grad_norm=0.715215 mask_ratio_lastbatch=0.098947 cuda_mem_alloc_mb=288.76 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=27 time=24.09s lr=0.00025 grad_norm=0.531770 mask_ratio_lastbatch=0.089555 cuda_mem_alloc_mb=289.51 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=28 time=24.07s lr=0.00025 grad_norm=0.882560 mask_ratio_lastbatch=0.099941 cuda_mem_alloc_mb=289.06 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=29 time=24.36s lr=0.00025 grad_norm=0.650796 mask_ratio_lastbatch=0.101765 cuda_mem_alloc_mb=290.52 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=30 time=24.11s lr=0.00025 grad_norm=0.385186 mask_ratio_lastbatch=0.102504 cuda_mem_alloc_mb=288.82 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=31 time=24.13s lr=0.00025 grad_norm=0.667106 mask_ratio_lastbatch=0.099275 cuda_mem_alloc_mb=289.49 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=32 time=24.16s lr=0.00025 grad_norm=0.942240 mask_ratio_lastbatch=0.098060 cuda_mem_alloc_mb=289.28 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=33 time=24.21s lr=0.00025 grad_norm=0.943274 mask_ratio_lastbatch=0.100706 cuda_mem_alloc_mb=289.14 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=34 time=24.12s lr=0.00025 grad_norm=0.354487 mask_ratio_lastbatch=0.104794 cuda_mem_alloc_mb=289.14 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=35 time=24.16s lr=0.00025 grad_norm=0.587091 mask_ratio_lastbatch=0.089573 cuda_mem_alloc_mb=289.71 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=36 time=24.14s lr=0.000125 grad_norm=0.710299 mask_ratio_lastbatch=0.094010 cuda_mem_alloc_mb=288.95 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=37 time=24.18s lr=0.000125 grad_norm=0.459876 mask_ratio_lastbatch=0.105874 cuda_mem_alloc_mb=289.24 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=38 time=24.18s lr=0.000125 grad_norm=0.289333 mask_ratio_lastbatch=0.095013 cuda_mem_alloc_mb=289.07 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
