INFO | SYSTEM | epoch=65 time=32.72s lr=1.25e-06mask_ratio_lastbatch=0.182835
INFO | SYSTEM | epoch=66 time=32.75s lr=1.25e-06mask_ratio_lastbatch=0.159878
INFO | SYSTEM | epoch=67 time=32.79s lr=1.25e-06mask_ratio_lastbatch=0.164726
INFO | SYSTEM | epoch=68 time=32.70s lr=1.25e-06mask_ratio_lastbatch=0.170671
INFO | SYSTEM | epoch=69 time=32.70s lr=1.25e-06mask_ratio_lastbatch=0.164543
INFO | SYSTEM | epoch=70 time=32.79s lr=1.25e-06mask_ratio_lastbatch=0.169451
INFO | SYSTEM | epoch=71 time=32.70s lr=1.25e-06mask_ratio_lastbatch=0.181189
INFO | SYSTEM | epoch=72 time=32.78s lr=1.25e-06mask_ratio_lastbatch=0.172622
INFO | SYSTEM | epoch=73 time=32.89s lr=1e-06mask_ratio_lastbatch=0.174939
INFO | SYSTEM | epoch=74 time=32.83s lr=1e-06mask_ratio_lastbatch=0.180793
INFO | SYSTEM | epoch=75 time=32.69s lr=1e-06mask_ratio_lastbatch=0.165274
INFO | SYSTEM | epoch=76 time=32.76s lr=1e-06mask_ratio_lastbatch=0.179573
INFO | SYSTEM | epoch=77 time=32.79s lr=1e-06mask_ratio_lastbatch=0.177774
INFO | SYSTEM | epoch=78 time=32.82s lr=1e-06mask_ratio_lastbatch=0.171159
INFO | SYSTEM | epoch=79 time=32.90s lr=1e-06mask_ratio_lastbatch=0.160976
INFO | SYSTEM | epoch=80 time=32.81s lr=1e-06mask_ratio_lastbatch=0.159146
INFO | SYSTEM | epoch=81 time=32.91s lr=1e-06mask_ratio_lastbatch=0.186372
INFO | SYSTEM | epoch=82 time=32.73s lr=1e-06mask_ratio_lastbatch=0.153780
INFO | SYSTEM | epoch=83 time=32.91s lr=1e-06mask_ratio_lastbatch=0.171921
INFO | SYSTEM | epoch=84 time=32.85s lr=1e-06mask_ratio_lastbatch=0.167439
INFO | SYSTEM | epoch=85 time=32.76s lr=1e-06mask_ratio_lastbatch=0.161738
INFO | SYSTEM | epoch=86 time=32.74s lr=1e-06mask_ratio_lastbatch=0.173628
INFO | SYSTEM | epoch=87 time=32.84s lr=1e-06mask_ratio_lastbatch=0.175762
INFO | SYSTEM | epoch=88 time=32.88s lr=1e-06mask_ratio_lastbatch=0.164268
INFO | SYSTEM | epoch=89 time=32.77s lr=1e-06mask_ratio_lastbatch=0.173140
INFO | SYSTEM | epoch=90 time=32.75s lr=1e-06mask_ratio_lastbatch=0.164238
INFO | SYSTEM | epoch=91 time=32.85s lr=1e-06mask_ratio_lastbatch=0.190518
INFO | SYSTEM | epoch=92 time=32.74s lr=1e-06mask_ratio_lastbatch=0.179909
INFO | SYSTEM | epoch=93 time=32.76s lr=1e-06mask_ratio_lastbatch=0.179146
INFO | SYSTEM | epoch=94 time=32.76s lr=1e-06mask_ratio_lastbatch=0.177988
INFO | SYSTEM | epoch=95 time=32.82s lr=1e-06mask_ratio_lastbatch=0.161341
INFO | SYSTEM | epoch=96 time=32.62s lr=1e-06mask_ratio_lastbatch=0.159329
INFO | SYSTEM | epoch=97 time=32.70s lr=1e-06mask_ratio_lastbatch=0.178171
INFO | SYSTEM | epoch=98 time=32.61s lr=1e-06mask_ratio_lastbatch=0.175671
INFO | SYSTEM | epoch=99 time=32.65s lr=1e-06mask_ratio_lastbatch=0.144512
INFO | SYSTEM | epoch=100 time=32.69s lr=1e-06mask_ratio_lastbatch=0.173720
INFO | SYSTEM | epoch=101 time=32.77s lr=1e-06mask_ratio_lastbatch=0.168933
INFO | SYSTEM | epoch=102 time=32.77s lr=1e-06mask_ratio_lastbatch=0.174634
INFO | SYSTEM | epoch=103 time=38.13s lr=1e-06mask_ratio_lastbatch=0.176982
INFO | SYSTEM | epoch=104 time=32.59s lr=1e-06mask_ratio_lastbatch=0.181768
