INFO | SYSTEM | epoch=2 time=21.82s lr=0.001mask_ratio_lastbatch=0.114423
INFO | SYSTEM | epoch=3 time=19.06s lr=0.001mask_ratio_lastbatch=0.091276
INFO | SYSTEM | epoch=4 time=18.95s lr=0.001mask_ratio_lastbatch=0.112981
INFO | SYSTEM | epoch=5 time=19.03s lr=0.001mask_ratio_lastbatch=0.110978
INFO | SYSTEM | epoch=6 time=21.80s lr=0.001mask_ratio_lastbatch=0.098194
INFO | SYSTEM | epoch=7 time=19.18s lr=0.001mask_ratio_lastbatch=0.106571
INFO | SYSTEM | epoch=8 time=22.13s lr=0.001mask_ratio_lastbatch=0.108974
INFO | SYSTEM | epoch=9 time=19.34s lr=0.001mask_ratio_lastbatch=0.097500
INFO | SYSTEM | epoch=10 time=19.24s lr=0.001mask_ratio_lastbatch=0.106696
INFO | SYSTEM | epoch=11 time=19.29s lr=0.001mask_ratio_lastbatch=0.113301
INFO | SYSTEM | epoch=12 time=19.28s lr=0.001mask_ratio_lastbatch=0.109054
INFO | SYSTEM | epoch=13 time=19.42s lr=0.001mask_ratio_lastbatch=0.100694
INFO | SYSTEM | epoch=14 time=19.29s lr=0.001mask_ratio_lastbatch=0.123264
INFO | SYSTEM | epoch=15 time=19.40s lr=0.001mask_ratio_lastbatch=0.102292
INFO | SYSTEM | epoch=16 time=19.29s lr=0.001mask_ratio_lastbatch=0.122483
INFO | SYSTEM | epoch=17 time=19.40s lr=0.0005mask_ratio_lastbatch=0.110737
INFO | SYSTEM | epoch=18 time=19.26s lr=0.0005mask_ratio_lastbatch=0.101339
INFO | SYSTEM | epoch=19 time=19.29s lr=0.0005mask_ratio_lastbatch=0.102976
INFO | SYSTEM | epoch=20 time=19.23s lr=0.0005mask_ratio_lastbatch=0.112420
INFO | SYSTEM | epoch=21 time=19.25s lr=0.0005mask_ratio_lastbatch=0.091471
INFO | SYSTEM | epoch=22 time=19.33s lr=0.0005mask_ratio_lastbatch=0.119792
INFO | SYSTEM | epoch=23 time=19.18s lr=0.0005mask_ratio_lastbatch=0.100670
INFO | SYSTEM | epoch=24 time=19.25s lr=0.0005mask_ratio_lastbatch=0.110417
INFO | SYSTEM | epoch=25 time=19.28s lr=0.0005mask_ratio_lastbatch=0.108482
INFO | SYSTEM | epoch=26 time=19.48s lr=0.0005mask_ratio_lastbatch=0.085600
INFO | SYSTEM | epoch=27 time=22.11s lr=0.0005mask_ratio_lastbatch=0.110897
INFO | SYSTEM | epoch=28 time=19.29s lr=0.0005mask_ratio_lastbatch=0.103446
INFO | SYSTEM | epoch=29 time=22.14s lr=0.0005mask_ratio_lastbatch=0.116106
INFO | SYSTEM | epoch=30 time=19.29s lr=0.0005mask_ratio_lastbatch=0.103497
INFO | SYSTEM | epoch=31 time=19.27s lr=0.0005mask_ratio_lastbatch=0.104762
INFO | SYSTEM | epoch=32 time=19.24s lr=0.0005mask_ratio_lastbatch=0.113462
INFO | SYSTEM | epoch=33 time=19.21s lr=0.0005mask_ratio_lastbatch=0.119792
INFO | SYSTEM | epoch=34 time=19.27s lr=0.0005mask_ratio_lastbatch=0.102902
INFO | SYSTEM | epoch=35 time=22.18s lr=0.0005mask_ratio_lastbatch=0.102604
INFO | SYSTEM | epoch=36 time=19.28s lr=0.0005mask_ratio_lastbatch=0.101190
INFO | SYSTEM | epoch=37 time=19.30s lr=0.0005mask_ratio_lastbatch=0.099777
INFO | SYSTEM | epoch=38 time=19.28s lr=0.0005mask_ratio_lastbatch=0.132860
INFO | SYSTEM | epoch=39 time=19.30s lr=0.0005mask_ratio_lastbatch=0.102753
INFO | SYSTEM | epoch=40 time=19.27s lr=0.0005mask_ratio_lastbatch=0.105878
INFO | SYSTEM | epoch=41 time=19.29s lr=0.0005mask_ratio_lastbatch=0.124306
INFO | SYSTEM | epoch=42 time=19.30s lr=0.0005mask_ratio_lastbatch=0.101042
INFO | SYSTEM | epoch=43 time=19.27s lr=0.0005mask_ratio_lastbatch=0.111218
INFO | SYSTEM | epoch=44 time=19.30s lr=0.00025mask_ratio_lastbatch=0.106771
INFO | SYSTEM | epoch=45 time=19.34s lr=0.00025mask_ratio_lastbatch=0.122656
INFO | SYSTEM | epoch=46 time=19.26s lr=0.00025mask_ratio_lastbatch=0.113462
INFO | SYSTEM | epoch=47 time=19.26s lr=0.00025mask_ratio_lastbatch=0.118403
INFO | SYSTEM | epoch=48 time=19.32s lr=0.00025mask_ratio_lastbatch=0.090951
INFO | SYSTEM | epoch=49 time=19.29s lr=0.00025mask_ratio_lastbatch=0.109696
INFO | SYSTEM | epoch=50 time=19.37s lr=0.00025mask_ratio_lastbatch=0.110657
INFO | SYSTEM | epoch=51 time=19.33s lr=0.00025mask_ratio_lastbatch=0.110176
INFO | SYSTEM | epoch=52 time=19.29s lr=0.00025mask_ratio_lastbatch=0.118750
INFO | SYSTEM | epoch=53 time=19.28s lr=0.00025mask_ratio_lastbatch=0.102500
INFO | SYSTEM | epoch=54 time=19.41s lr=0.000125mask_ratio_lastbatch=0.112260
INFO | SYSTEM | epoch=55 time=19.30s lr=0.000125mask_ratio_lastbatch=0.089844
INFO | SYSTEM | epoch=56 time=19.30s lr=0.000125mask_ratio_lastbatch=0.118316
INFO | SYSTEM | epoch=57 time=19.45s lr=0.000125mask_ratio_lastbatch=0.113381
INFO | SYSTEM | epoch=58 time=19.31s lr=0.000125mask_ratio_lastbatch=0.112821
INFO | SYSTEM | epoch=59 time=19.28s lr=0.000125mask_ratio_lastbatch=0.101181
INFO | SYSTEM | epoch=60 time=19.33s lr=0.000125mask_ratio_lastbatch=0.115538
INFO | SYSTEM | epoch=61 time=19.41s lr=0.000125mask_ratio_lastbatch=0.098586
INFO | SYSTEM | epoch=62 time=19.33s lr=0.000125mask_ratio_lastbatch=0.112740
INFO | SYSTEM | epoch=63 time=19.41s lr=0.000125mask_ratio_lastbatch=0.121615
INFO | SYSTEM | epoch=64 time=19.26s lr=6.25e-05mask_ratio_lastbatch=0.092034
INFO | SYSTEM | epoch=65 time=19.35s lr=6.25e-05mask_ratio_lastbatch=0.113061
INFO | SYSTEM | epoch=66 time=19.22s lr=6.25e-05mask_ratio_lastbatch=0.089518
INFO | SYSTEM | epoch=67 time=19.30s lr=6.25e-05mask_ratio_lastbatch=0.112179
INFO | SYSTEM | epoch=68 time=19.29s lr=6.25e-05mask_ratio_lastbatch=0.089648
INFO | SYSTEM | epoch=69 time=19.34s lr=6.25e-05mask_ratio_lastbatch=0.114263
INFO | SYSTEM | epoch=70 time=19.25s lr=6.25e-05mask_ratio_lastbatch=0.109747
INFO | SYSTEM | epoch=71 time=19.26s lr=6.25e-05mask_ratio_lastbatch=0.114103
INFO | SYSTEM | epoch=72 time=19.28s lr=6.25e-05mask_ratio_lastbatch=0.110096
INFO | SYSTEM | epoch=73 time=19.31s lr=6.25e-05mask_ratio_lastbatch=0.121962
INFO | SYSTEM | epoch=74 time=19.27s lr=3.125e-05mask_ratio_lastbatch=0.111779
INFO | SYSTEM | epoch=75 time=19.29s lr=3.125e-05mask_ratio_lastbatch=0.116346
INFO | SYSTEM | epoch=76 time=19.33s lr=3.125e-05mask_ratio_lastbatch=0.097014
INFO | SYSTEM | epoch=77 time=19.28s lr=3.125e-05mask_ratio_lastbatch=0.113862
INFO | SYSTEM | epoch=78 time=19.25s lr=3.125e-05mask_ratio_lastbatch=0.104092
INFO | SYSTEM | epoch=79 time=19.33s lr=3.125e-05mask_ratio_lastbatch=0.102455
INFO | SYSTEM | epoch=80 time=19.27s lr=3.125e-05mask_ratio_lastbatch=0.098889
INFO | SYSTEM | epoch=81 time=19.25s lr=3.125e-05mask_ratio_lastbatch=0.117628
INFO | SYSTEM | epoch=82 time=19.30s lr=3.125e-05mask_ratio_lastbatch=0.105804
INFO | SYSTEM | epoch=83 time=19.31s lr=3.125e-05mask_ratio_lastbatch=0.106548
INFO | SYSTEM | epoch=84 time=19.32s lr=1.5625e-05mask_ratio_lastbatch=0.117228
INFO | SYSTEM | epoch=85 time=19.45s lr=1.5625e-05mask_ratio_lastbatch=0.108929
INFO | SYSTEM | epoch=0 time=22.33s lr=0.001mask_ratio_lastbatch=0.087010
INFO | SYSTEM | epoch=1 time=22.19s lr=0.001mask_ratio_lastbatch=0.089128
INFO | SYSTEM | epoch=2 time=22.16s lr=0.001mask_ratio_lastbatch=0.111458
INFO | SYSTEM | epoch=3 time=19.25s lr=0.001mask_ratio_lastbatch=0.108814
INFO | SYSTEM | epoch=4 time=19.28s lr=0.001mask_ratio_lastbatch=0.111298
