2025-12-22 02:04:04,192 | INFO | SYSTEM | epoch=24 time=3.11s lr=0.0005 grad_norm=7.336013 mask_ratio_lastbatch=0.232008 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:08,171 | INFO | SYSTEM | epoch=25 time=3.98s lr=0.0005 grad_norm=7.323463 mask_ratio_lastbatch=0.225497 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:11,279 | INFO | SYSTEM | epoch=26 time=3.11s lr=0.0005 grad_norm=7.352294 mask_ratio_lastbatch=0.227273 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:14,392 | INFO | SYSTEM | epoch=27 time=3.11s lr=0.0005 grad_norm=7.330386 mask_ratio_lastbatch=0.229285 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:17,514 | INFO | SYSTEM | epoch=28 time=3.12s lr=0.0005 grad_norm=7.381200 mask_ratio_lastbatch=0.229522 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:20,990 | INFO | SYSTEM | epoch=29 time=3.48s lr=0.0005 grad_norm=7.333564 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:24,097 | INFO | SYSTEM | epoch=30 time=3.11s lr=0.0005 grad_norm=7.313481 mask_ratio_lastbatch=0.230705 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:27,351 | INFO | SYSTEM | epoch=31 time=3.09s lr=0.0005 grad_norm=7.347230 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:30,463 | INFO | SYSTEM | epoch=32 time=3.11s lr=0.0005 grad_norm=7.387388 mask_ratio_lastbatch=0.229403 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:33,577 | INFO | SYSTEM | epoch=33 time=3.11s lr=0.0005 grad_norm=7.364103 mask_ratio_lastbatch=0.220358 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:36,684 | INFO | SYSTEM | epoch=34 time=3.11s lr=0.0005 grad_norm=7.368829 mask_ratio_lastbatch=0.225379 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:39,877 | INFO | SYSTEM | epoch=35 time=3.19s lr=0.0005 grad_norm=7.381512 mask_ratio_lastbatch=0.229759 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
